Date,Open,High,Low,Close,Adj Close,Volume,DayOfTheWeek,WeekOf
2014-05-01,188.220001,188.839996,187.729996,188.330002,158.518341,93019000.0,Thursday,4/28/14
2014-05-02,188.309998,189.139999,187.779999,188.059998,158.291016,98122000.0,Friday,4/28/14
2014-05-05,187.139999,188.550003,186.619995,188.419998,158.59407,75883000.0,Monday,5/5/14
2014-05-08,187.710007,189.050003,187.080002,187.679993,157.971191,93618000.0,Thursday,5/5/14
2014-05-09,187.710007,188.039993,186.830002,187.960007,158.206879,83679000.0,Friday,5/5/14
2014-05-12,188.800003,189.880005,188.0,189.789993,159.747177,86940000.0,Monday,5/12/14
2014-05-15,188.679993,188.720001,186.479996,187.399994,157.735458,154956000.0,Thursday,5/12/14
2014-05-16,187.509995,188.130005,186.720001,188.050003,158.282623,97458000.0,Friday,5/12/14
2014-05-19,187.690002,188.889999,187.520004,188.740005,158.863434,63839000.0,Monday,5/19/14
2014-05-22,189.179993,189.979996,188.860001,189.589996,159.578827,61549000.0,Thursday,5/19/14
2014-05-23,189.759995,190.479996,189.589996,190.350006,160.218597,61092800.0,Friday,5/19/14
2014-05-27,191.059998,191.580002,190.949997,191.520004,161.203293,72010000.0,Tuesday,5/26/14
2014-05-29,191.820007,192.399994,191.330002,192.369995,161.918747,64377000.0,Thursday,5/26/14
2014-05-30,192.190002,192.800003,192.029999,192.679993,162.179657,76316000.0,Friday,5/26/14
2014-06-02,192.949997,192.990005,191.970001,192.899994,162.364868,64656000.0,Monday,6/2/14
2014-06-05,193.410004,194.649994,192.699997,194.449997,163.66951,92103000.0,Thursday,6/2/14
2014-06-06,194.869995,195.429993,194.779999,195.380005,164.452286,78696000.0,Friday,6/2/14
2014-06-09,195.350006,196.050003,195.169998,195.580002,164.620636,65119000.0,Monday,6/9/14
2014-06-12,194.690002,194.800003,193.110001,193.539993,162.903534,106350000.0,Thursday,6/9/14
2014-06-13,193.919998,194.320007,193.300003,194.130005,163.400208,82017000.0,Friday,6/9/14
2014-06-16,193.889999,194.699997,193.660004,194.289993,163.534836,87424000.0,Monday,6/16/14
2014-06-19,196.429993,196.600006,195.800003,196.479996,165.378204,85929000.0,Thursday,6/16/14
2014-06-20,196.029999,196.100006,195.699997,195.940002,165.713989,100587000.0,Friday,6/16/14
2014-06-23,195.990005,196.050003,195.520004,195.880005,165.663208,70611000.0,Monday,6/23/14
2014-06-26,195.610001,195.630005,194.130005,195.440002,165.291092,84312000.0,Thursday,6/23/14
2014-06-27,194.979996,195.880005,194.889999,195.820007,165.612473,71445100.0,Friday,6/23/14
2014-06-30,195.699997,196.169998,195.529999,195.720001,165.527847,70201200.0,Monday,6/30/14
2014-07-02,197.050003,197.479996,196.960007,197.229996,166.804947,52475000.0,Wednesday,6/30/14
2014-07-03,197.789993,198.289993,197.639999,198.199997,167.625336,52938800.0,Thursday,6/30/14
2014-07-07,197.820007,197.979996,197.220001,197.509995,167.041763,61696000.0,Monday,7/7/14
2014-07-10,195.220001,196.860001,195.059998,196.339996,166.052231,99040000.0,Thursday,7/7/14
2014-07-11,196.220001,196.75,195.779999,196.610001,166.280563,64243000.0,Friday,7/7/14
2014-07-14,197.610001,197.860001,197.440002,197.600006,167.117874,58658000.0,Monday,7/14/14
2014-07-17,197.350006,198.100006,195.429993,195.710007,165.519394,145398000.0,Thursday,7/14/14
2014-07-18,196.350006,197.910004,196.240005,197.710007,167.210892,124330000.0,Friday,7/14/14
2014-07-21,197.089996,197.5,196.429993,197.339996,166.897964,67592000.0,Monday,7/21/14
