Date,Open,High,Low,Close,Adj Close,Volume
9/2/21,453.320007,454.049988,451.910004,453.190002,438.11203,42501000
9/3/21,451.980011,453.630005,451.549988,453.079987,438.005646,47170500
9/7/21,452.709991,452.809998,450.73999,451.459991,436.439545,51671500
9/8/21,450.890015,451.670013,448.859985,450.910004,435.907867,56181900
9/9/21,450.700012,452.570007,448.720001,448.980011,434.042084,57970400
9/10/21,451.040009,451.48999,445.309998,445.440002,430.619904,89948200
9/13/21,448.640015,448.920013,444.109985,446.579987,431.721924,83738600
9/14/21,448.119995,448.339996,443.220001,444.170013,429.39209,78197100
9/15/21,444.619995,448.410004,443.440002,447.880005,432.978699,78792200
9/16/21,447.320007,448.359985,444.019989,447.170013,432.292297,77786700
9/17/21,444.920013,445.369995,441.019989,441.399994,428.081268,118425000
9/20/21,434.880005,436.559998,428.859985,434.040009,420.94339,166445500
9/21/21,436.529999,437.910004,433.070007,433.630005,420.545776,92526100
9/22/21,436.049988,440.029999,433.75,437.859985,424.648132,102350100
9/23/21,439.850006,444.890015,439.600006,443.179993,429.807617,76396000
9/24/21,441.440002,444.670013,441.209991,443.910004,430.515625,62094800
9/27/21,442.809998,444.049988,441.899994,442.640015,429.283936,61371100
9/28/21,439.690002,440.040009,432.940002,433.720001,420.633026,130436300
9/29/21,435.190002,437.040009,433.850006,434.450012,421.340973,82329200
9/30/21,436.019989,436.769989,428.779999,429.140015,416.191254,140506000
10/1/21,430.980011,436.029999,427.230011,434.23999,421.13739,129240100
10/4/21,433,433.959991,426.359985,428.640015,415.706329,128570000
10/5/21,430.23999,435.48999,429.390015,433.100006,420.031738,90682500
10/6/21,429.269989,435.119995,427.540009,434.899994,421.777466,113032200
10/7/21,438.390015,441.679993,438.200012,438.660004,425.424011,72437500
10/8/21,439.480011,439.890015,437.190002,437.859985,424.648132,74557400
10/11/21,437.160004,440.26001,434.619995,434.690002,421.573792,65233300
10/12/21,435.670013,436.100006,432.779999,433.619995,420.536072,71181200
10/13/21,434.709991,436.049988,431.540009,435.179993,422.049011,72974000
10/14/21,439.079987,442.660004,438.579987,442.5,429.148132,70236800
10/15/21,444.75,446.26001,444.089996,445.869995,432.416412,66260200
10/18/21,443.970001,447.549988,443.269989,447.190002,433.696594,62213200
10/19/21,448.920013,450.709991,448.269989,450.640015,437.042542,46996800
10/20/21,451.130005,452.730011,451.01001,452.410004,438.759094,49571600
10/21/21,451.769989,453.829987,451.309998,453.589996,439.903534,41305400
10/22/21,453.130005,454.670013,451.049988,453.119995,439.447693,58845100
10/25/21,454.279999,455.899994,452.390015,455.549988,441.804382,45214500
